ano_campeonato,time_mandante,time_visitante,gols_mandante,gols_visitante
2022,Goiás,Palmeiras,1,1
2022,Goiás,Santos,1,0
2022,Goiás,Cuiabá-MT,1,0
2022,Goiás,Athletico-PR,2,1
2022,Goiás,Coritiba FC,1,0
2022,Goiás,Atlético-GO,2,1
2022,Goiás,Flamengo,1,1
2022,Goiás,Botafogo,0,1
2022,Goiás,Corinthians,0,0
2022,Goiás,América-MG,2,2
2022,Goiás,Juventude,1,0
2022,Santos,América-MG,3,0
2022,Santos,Ceará SC,0,0
2022,Santos,Palmeiras,0,1
2022,Santos,Internacional,1,1
2022,Santos,Atlético-GO,1,0
2022,Santos,Botafogo,2,0
2022,Santos,Fluminense,2,2
2022,Santos,São Paulo,1,0
2022,Santos,Athletico-PR,2,0
2022,Santos,Atlético-MG,1,2
2022,Santos,Juventude,4,1
2022,Santos,Corinthians,0,1
2022,Santos,Avaí FC,1,1
2022,Santos,Fortaleza,0,2
2022,Avaí FC,América-MG,1,0
2022,Avaí FC,Goiás,3,2
2022,Avaí FC,Coritiba FC,2,1
2022,Avaí FC,Palmeiras,2,2
2022,Avaí FC,Cuiabá-MT,1,2
2022,Avaí FC,Santos,1,0
2022,Avaí FC,Flamengo,1,2
2022,Avaí FC,Corinthians,1,1
2022,Avaí FC,Internacional,0,1
2022,Avaí FC,Athletico-PR,1,1
2022,Avaí FC,Atlético-MG,1,0
2022,Avaí FC,Botafogo,1,2
2022,Avaí FC,RB Bragantino,1,2
2022,Avaí FC,Ceará SC,2,0
2022,Botafogo,Juventude,1,1
2022,Botafogo,Goiás,1,2
2022,Botafogo,São Paulo,1,0
2022,Botafogo,Fluminense,0,1
2022,Botafogo,Atlético-MG,0,1
2022,Botafogo,Athletico-PR,2,0
2022,Botafogo,Ceará SC,1,1
2022,Botafogo,Atlético-GO,0,0
2022,Botafogo,Flamengo,0,1
2022,Botafogo,América-MG,0,0
2022,Botafogo,Coritiba FC,2,0
2022,Botafogo,Internacional,0,1
2022,Botafogo,RB Bragantino,2,1
2022,Botafogo,Santos,3,0
2022,Flamengo,Palmeiras,0,0
2022,Flamengo,Botafogo,0,1
2022,Flamengo,Goiás,1,0
2022,Flamengo,Cuiabá-MT,2,0
2022,Flamengo,América-MG,3,0
2022,Flamengo,Coritiba FC,2,0
2022,Flamengo,Juventude,4,0
2022,Flamengo,Atlético-GO,4,1
2022,Flamengo,Athletico-PR,5,0
2022,Flamengo,RB Bragantino,4,1
2022,Flamengo,Internacional,0,0
2022,Flamengo,Atlético-MG,1,0
2022,Flamengo,Santos,3,2
2022,Ceará SC,Coritiba FC,1,1
2022,Ceará SC,Atlético-MG,0,0
2022,Ceará SC,Avaí FC,1,0
2022,Ceará SC,Athletico-PR,0,0
2022,Ceará SC,Santos,2,1
2022,Ceará SC,Goiás,1,1
2022,Ceará SC,Cuiabá-MT,1,1
2022,Ceará SC,Fluminense,0,1
2022,Ceará SC,Juventude,4,1
2022,Fortaleza,São Paulo,1,1
2022,Fortaleza,Juventude,1,1
2022,Fortaleza,Goiás,1,1
2022,Fortaleza,Athletico-PR,0,0
2022,Fortaleza,América-MG,1,0
2022,Fortaleza,Palmeiras,0,0
2022,Fortaleza,Santos,0,0
2022,Fortaleza,Internacional,3,0
2022,Fortaleza,Corinthians,1,0
2022,Fortaleza,Avaí FC,2,0
2022,Fortaleza,Atlético-MG,0,0
2022,Fortaleza,Coritiba FC,3,1
2022,Fortaleza,RB Bragantino,6,0
2022,Juventude,Cuiabá-MT,0,1
2022,Juventude,Internacional,1,1
2022,Juventude,Fluminense,1,0
2022,Juventude,Santos,1,2
2022,Juventude,Goiás,0,0
2022,Juventude,Ceará SC,1,0
2022,Juventude,Botafogo,2,2
2022,Juventude,Avaí FC,1,1
2022,Juventude,Atlético-GO,1,1
2022,Juventude,Coritiba FC,0,1
2022,Palmeiras,Corinthians,3,0
2022,Palmeiras,Fluminense,1,1
2022,Palmeiras,RB Bragantino,2,0
2022,Palmeiras,Atlético-MG,0,0
2022,Palmeiras,Botafogo,4,0
2022,Palmeiras,Cuiabá-MT,1,0
2022,Palmeiras,Internacional,2,1
2022,Palmeiras,Goiás,3,0
2022,Palmeiras,Juventude,2,1
2022,Palmeiras,Santos,1,0
